Bird,Start_times,End_times,Freq_low,Freq_high,Full_clip_length
EATO.wav,"[1.659, 21.23, 24.296, 31.87, 47.097, 53.383]","[3.123, 22.694, 25.76, 33.334, 48.561, 54.847]",1070,15625,1.464
OVEN.wav,"[0.707, 33.887]","[3.255, 36.435]",2606,15625,2.548
NOCA.wav,"[23.864, 26.616, 37.449, 41.794, 46.153, 56.808]","[23.992, 26.744, 37.577, 41.922, 46.281, 56.936]",1071,16939,1.066
AMCR.wav,"[20.712, 54.941]","[20.909, 55.138]",400,8527,0.613
WOTH.wav,[],[],1265,15479,1.512
BTNW.wav,"[38.099, 43.881]","[39.537, 45.319]",3164,14262,1.438
BCCH.wav,"[21.781, 34.698, 36.225]","[23.347, 36.264, 37.791]",2385,10660,1.566
REVI.wav,[10.515],[10.938],1898,5500,0.423
TUTI.wav,[38.672],[38.879],2044,13824,0.531
RBWO.wav,[],[],584,14213,0.391
RWBL.wav,"[8.064, 44.575]","[8.996, 45.507]",584,15820,0.932
COYE.wav,[27.486],[28.001],2726,15917,1.073
HOWA.wav,[],[],2580,14019,1.002
SCTA.wav,[],[],1925,10784,1.79
BWWA.wav,"[17.653, 47.139, 57.239]","[19.266, 48.752, 58.852]",2086,19033,1.613
SOSP.wav,"[7.193, 10.645, 33.058]","[9.478, 12.93, 35.343]",1348,15856,2.285
SWSP.wav,[23.745],[26.181],2632,6805,2.436
AMRO.wav,[22.199],[22.476],1637,14764,0.86
BHCO.wav,[],[],867,17621,0.932
ACFL.wav,[],[],1541,15856,0.63
GRCA.wav,[],[],899,16048,3.076
BAWW.wav,[],[],3980,15856,1.605
