Bird,Start_times,End_times,Freq_low,Freq_high,Full_clip_length
EATO.wav,[0.514],[1.978],1070,15625,1.464
OVEN.wav,[],[],2606,15625,2.548
NOCA.wav,[10.401],[10.529],1071,16939,1.066
AMCR.wav,[],[],400,8527,0.613
WOTH.wav,[2.835],[4.347],1265,15479,1.512
BTNW.wav,[9.228],[10.666],3164,14262,1.438
BCCH.wav,[],[],2385,10660,1.566
REVI.wav,[],[],1898,5500,0.423
TUTI.wav,[],[],2044,13824,0.531
RBWO.wav,[],[],584,14213,0.391
RWBL.wav,[],[],584,15820,0.932
COYE.wav,[],[],2726,15917,1.073
HOWA.wav,[9.795],[10.797],2580,14019,1.002
SCTA.wav,[],[],1925,10784,1.79
BWWA.wav,[5.174],[6.787],2086,19033,1.613
SOSP.wav,[],[],1348,15856,2.285
SWSP.wav,[],[],2632,6805,2.436
AMRO.wav,[],[],1637,14764,0.86
BHCO.wav,[],[],867,17621,0.932
ACFL.wav,[11.944],[12.574],1541,15856,0.63
GRCA.wav,[],[],899,16048,3.076
BAWW.wav,[],[],3980,15856,1.605
