Bird,Start_times,End_times,Freq_low,Freq_high,Full_clip_length
EATO.wav,"[1.598, 3.141, 21.373, 39.688, 51.422, 57.348]","[3.062, 4.605, 22.837, 41.152, 52.886, 58.812]",1070,15625,1.464
OVEN.wav,"[2.405, 14.502, 56.362]","[4.953, 17.05, 58.91]",2606,15625,2.548
NOCA.wav,"[4.234, 31.347, 43.283, 50.574, 59.636]","[4.362, 31.475, 43.411, 50.702, 59.764]",1071,16939,1.066
AMCR.wav,"[38.378, 44.424, 48.291]","[38.575, 44.621, 48.488]",400,8527,0.613
WOTH.wav,"[10.943, 42.659]","[12.455, 44.171]",1265,15479,1.512
BTNW.wav,"[30.078, 58.41]","[31.516, 59.848]",3164,14262,1.438
BCCH.wav,"[34.805, 48.726, 57.474]","[36.371, 50.292, 59.04]",2385,10660,1.566
REVI.wav,[],[],1898,5500,0.423
TUTI.wav,[],[],2044,13824,0.531
RBWO.wav,[10.9],[10.993],584,14213,0.391
RWBL.wav,[],[],584,15820,0.932
COYE.wav,[9.409],[9.924],2726,15917,1.073
HOWA.wav,[6.292],[7.294],2580,14019,1.002
SCTA.wav,[29.164],[30.954],1925,10784,1.79
BWWA.wav,"[1.999, 8.55]","[3.612, 10.163]",2086,19033,1.613
SOSP.wav,[26.978],[29.263],1348,15856,2.285
SWSP.wav,[],[],2632,6805,2.436
AMRO.wav,"[7.885, 18.302]","[8.162, 18.579]",1637,14764,0.86
BHCO.wav,[],[],867,17621,0.932
ACFL.wav,"[15.208, 43.198]","[15.838, 43.828]",1541,15856,0.63
GRCA.wav,[],[],899,16048,3.076
BAWW.wav,[47.054],[47.434],3980,15856,1.605
